publication_number,title,topic,topic_probability,country_code,publication_date
BG-2690-U1,Installation for integrated breeding of hydrobionts and plants in closed cycle,3,0.40265912,BG,20170831
NZ-733432-A,Process for enriching the biomass of microalgae of the schizochytrium genus with dha and with arg and glu amino acids,6,0.56635183,NZ,20211029
UA-96379-C2,Method for cultivating black-sea red alga gelidium latifolium (grev.) born. et thur. (rhodophyta),3,0.46789426,UA,20111025
BG-113788-A,Means of leaf and soil nutritioning of plants and method of production,2,0.36063182,BG,20250415
PH-12015500600-A1,Upgrading process streams,0,0.6226235,PH,20150511
MY-169433-A,"Processes for producing virgin coconut oil, coconut cooking oil and raw material for coconut biodiesel",5,0.4621617,MY,20190409
NZ-610788-A,"Process for isolating fucoidan and laminarin from live, harvested seaweed",3,0.2673443,NZ,20140725
UA-87146-U,Methods for producing nanobioflocculant for extracting ultradispersed gold,6,0.51369244,UA,20140127
ES-3032108-A1,"Substrate based on marine plants suitable for growing edible mushrooms (Machine-translation by Google Translate, not legally binding)",3,0.4783649,ES,20250715
HK-1199739-A1,Algal lipid compositions and methods of preparing and utilizing the same,3,0.47912824,HK,20150717
DE-102010004076-A1,"Cultivating algae, useful e.g. for ethanol hydrogenation, comprises inoculating nutrient solution with algal culture, subjecting algae to light and dark phases, separating algae-rich nutrient solution and discharging algae concentrate",3,0.5025782,DE,20110728
NL-2014632-A,Apparatus and method for treatment of air by algae.,2,0.36720037,NL,20161017
UA-95124-C2,Method for the preparation of sodium chlorophyllin concentrate of green algae biomass,3,0.39625162,UA,20110711
DE-102011054585-A1,"Apparatus useful for processing effluent, comprises mechanical cleaning station, container, anaerobic reactor, device for separating sludge, bioreactor with algae culture, and discharge lines for removing different products from bioreactor",2,0.48777455,DE,20130418
ES-2438392-A1,"Procedure for the production of biomass and apparatus used in such procedure, improved (Machine-translation by Google Translate, not legally binding)",2,0.305288,ES,20140116
GB-2613089-A,Sea lice inhibiting system,3,0.34940714,GB,20230524
PH-12015500578-A1,Filtration,0,0.61683214,PH,20150511
MY-166371-A,A method for cultivating seaweed and a boat thereof,3,0.40126327,MY,20180625
RO-137885-A2,"Process and plant for treating the air polluted with volatile carbon compounds, by bio-photodegradation",2,0.4584278,RO,20240130
MD-20170044-A2,"Concentrated extract of algae, production method thereof and use of same in agriculture",3,0.49528316,MD,20171031
NZ-720322-A,Method for enriching the biomass of schizochytrium genus microalgae with dha,6,0.53886294,NZ,20220527
MD-4932-B1,Process for pre-sowing treatment of Echinacea purpurea L. seeds,6,0.26679635,MD,20250831
GB-2544384-A,Exfoliant with biosurfactants,6,0.2914909,GB,20170517
MY-182767-A,"Cultured algae water concentration system, method for operating cultured algae water concentration system, and method for concentrating algae water containing cultured algae",2,0.48312998,MY,20210205
DK-179226-B9,Natural composition and method for preventing algal growth on outdoor surfaces,3,0.3203866,DK,20180430
MD-4744-C1,Biogas production plant,0,0.5946152,MD,20210930
RO-128732-B1,Chlorella homosphaera strain with eco-technological plasticity,2,0.6992123,RO,20160630
SA-518391582-B1,Method for Producing Methane from Carbon Dioxide by Co-Culture,2,0.44183326,SA,20220313
SG-11201407585Q-A,Mixotrophic method of aquaculture,4,0.1005515,SG,20141230
ES-2525598-A2,"Process for the production of effective algae and installation amendment designed for such end (Machine-translation by Google Translate, not legally binding)",3,0.5448847,ES,20141226
NZ-731676-A,Processing biomass,0,0.58942693,NZ,20181130
LU-508404-B1,Method for screening nitrogen-fixing cyanobacteria in rice fields,2,0.44162536,LU,20250331
SG-193445-A1,Extraction of proteins from algae,3,0.55470014,SG,20131030
ZA-201100001-B,"A method of producing fatty acids for biofuel,biodiesel,and other valuable chemicals",3,0.5515556,ZA,20110928
FR-2998174-A1,"Preparing topical cosmetic/dermatological active ingredient used in composition for treating acne, comprises culturing microorganism on culture medium as it promotes the formation of supernatant resulting from metabolism of microorganism",6,0.3371624,FR,20140523
EA-030216-B1,Method for upgrading saccharified biomass liquid,0,0.62123585,EA,20180731
TN-2010000591-A1,Process and apparatus for extracting biodiesel from algae,5,0.59676963,TN,20120524
DE-102013007773-A1,"Structured mats for use in motor vehicle or naval application for algae and plants harvesting in water, are provided with quadratic firm cell structures, and are arranged parallelly in sliding guides in overlapping manner",3,0.26879,DE,20130822
UA-94956-C2,Method for production of biogas from algae,3,0.6029704,UA,20110625
ZA-202407871-B,Method of monopterus albus zuiew reproduce in shallow water without soil,3,0.32643166,ZA,20250528
RO-130351-A2,Process for preparing aviation biofuel from microalgal biomass,3,0.6978971,RO,20150630
PH-22017050076-U1,Oyster powder from oyster meat residue,4,0.2622592,PH,20180601
NZ-606129-A,Process for producing a biocrude employing microalgae,2,0.4984743,NZ,20150130
NZ-706109-A,Reconfigurable processing enclosures,0,0.63026655,NZ,20190927
GB-2498098-A,Aquarium with compartments,3,0.3572945,GB,20130703
ES-2743548-A1,A method for improvement of methane production from microalgae,0,0.58026576,ES,20200219
UA-94978-C2,Process for biological advance treatment of waste water,2,0.6692163,UA,20110625
NZ-601898-A,Processing biomass,0,0.54019916,NZ,20140926
RO-130066-B1,Strain of anabaenopsis sp. and improved method for producing dissolved hydrogen by growing the same,2,0.460248,RO,20180830
ES-2633027-A1,"Industrial module of intensive cultivation of microalgae with lighting, temperature, co2, agitation and trace elements controls (Machine-translation by Google Translate, not legally binding)",1,0.35608417,ES,20170918
HK-1163056-A1,"Production of biodiesel, cellulosic sugars, and peptides from the simultaneous esterification and alcohol ysis/hydrolysis of materials with oil-containing substituents including phospholipids and cellulosic and peptidic content",3,0.43622464,HK,20120907
LU-102502-B1,A Kind of Chemostat for Microalgae,6,0.5272475,LU,20210809
MD-130-Z,Process for obtaining a phospholipid complex from Spirulina platensis biomass,6,0.54909015,MD,20101130
HK-1248545-A1,Anti-inflammatory and immunomodulatory compositions comprising klebsormidium and uses thereof,3,0.4247994,HK,20181019
UA-93282-C2,Photobioreactor for cultivating microalgae,6,0.68197274,UA,20110125
DE-102010001072-A1,"Cultivating biomass in biomass cultivation plant, useful e.g. to produce bactericides, comprises disposing cultivation plant in spatial proximity of e.g. residual biomass, and carbon dioxide-emitting device, and supplying carbon dioxide",2,0.6740366,DE,20110728
RO-128691-A2,Technology for preparing diesel bio-fuel from algae oil,5,0.57950723,RO,20130830
MY-180865-A,A system for harvesting seaweed,3,0.39027792,MY,20201210
DE-102010011870-A1,"Method for storing carbon-dioxide separated from e.g. exhaust gas in e.g. power plant, involves pumping of combination of biomass bound carbon-dioxide and residual carbon-dioxide into earth reservoirs",2,0.5664269,DE,20110922
NL-2030057-B1,Flow cytometer Detection Method for Living Cells of 10-50μm Living Plankton,2,0.48953223,NL,20230224
MD-4200-C1,Method for assessing the toxicity of nanoparticles by means of red microalga Porphyridium cruentum,2,0.55070925,MD,20130930
LU-501383-B1,Culture Medium for Directionally Promoting Growth of Beneficial Algae and Inhibiting Growth of Harmful Cyanobacteria,3,0.5092047,LU,20220810
RO-137238-A2,Process for treating residual flows in dairy industry by mixotrophic cultivation of nannochloris sp. microalgae strain,0,0.4851772,RO,20230130
ES-2404454-A2,"Solar radiation intensification device for photobiorreactors, photobiorreactor that includes said device and method of assembly of such device in a photobiorreactor (Machine-translation by Google Translate, not legally binding)",2,0.26618272,ES,20130527
PH-22017050076-Y1,Oyster powder from oyster meat residue,4,0.2622592,PH,20180601
ES-2685220-A2,"Method for estimating microalgal growth (Machine-translation by Google Translate, not legally binding)",6,0.587443,ES,20181005
RO-130352-B1,Strain of nannochloris sp. for preparing aviation biofuel,2,0.6622357,RO,20180228
LU-503788-B1,Algae control device and method for farmland wastewater treatment,2,0.5472368,LU,20231002
MD-4130-B1,Biogas-cleaning plant,2,0.58235013,MD,20111031
EA-017601-B1,Asteromonas salina mirzaladi strain for production of biomass,0,0.6406257,EA,20130130
GB-2545593-A,Method for producing brown algae in which iodine was reduced,3,0.5029255,GB,20170621
GB-201206466-D0,Method of culturing algae,3,0.50132126,GB,20120530
MD-4606-B1,Processes for pre-sowing treatment of seeds,3,0.43837714,MD,20181231
ES-2371843-A1,Process for the cultivation of micro-algae,3,0.6004478,ES,20120110
NL-2031876-A,Method for co-producing methane and bio-oil by coupling anaerobic digestion of domestic wastewater with microalgae cultivation,0,0.72246563,NL,20230417
PH-22021050043-U3,A METHOD TO DISSOCIATE TISSUES AND ISOLATE SOMATIC CELLS FROM TISSUES OF THE RED SEAWEEDS Kappaphycus spp and Eucheuma spp,3,0.54400146,PH,20230417
PH-22017000542-Y1,A power generation system using floating photovoltaic power plants on aquaculture cages,4,0.37854013,PH,20171006
PH-22018000740-U1,Composition for shampoo with conditioner using black seed,5,0.17402425,PH,20190925
PH-12017500446-A1,"Concentrated extract of algae, production method thereof and use of same in agriculture",3,0.4788928,PH,20170731
PH-12016502148-A1,Methods of microalgae cultivation for increased resource production,6,0.5847267,PH,20161219
ES-2527885-A2,Microorganism of the genus tetraselmis and the use thereof for the production of biofuels,6,0.650545,ES,20150202
MY-164471-A,"Production of biodiesel, cellulosic sugars, and peptides from the simultaneous esterification and alcohol ysis/hydrolysis of materials with oil-containing substituents including phospholipids and cellulosic and peptidic content",3,0.43980014,MY,20171215
SG-11201901598X-A,Improved method for growing algae,2,0.23988977,SG,20190328
UA-151054-U,Device for cultivation of microscopic algae by using energy-saving technologies,3,0.61378527,UA,20220601
NZ-614107-A,"Process for production of microalgae, cyanobacteria and metabolites thereof",6,0.50769806,NZ,20150828
ES-2378722-A1,"Aeration pond for microalogue cultivation. (Machine-translation by Google Translate, not legally binding)",2,0.53983796,ES,20120417
ES-2433765-A1,Method for producing biofuels and food co-products using extracts of microalgae cultures,6,0.6789724,ES,20131212
PH-12017500826-A1,Bioreactor using microalgae,2,0.55334485,PH,20171009
