filename,best_similarity,closest_match
"Current status, issues and developments in microalgae derived biodiesel production.pdf",0.7066666666666667,CURRENT TRENDS AND PROSPECTS IN MICROALGAE-BASED BIOENERGY PRODUCTION
Economic and policy issues in the production of algae-based biofuels a review..pdf,0.5751633986928104,DEVELOPMENTS AND CHALLENGES IN BIODIESEL PRODUCTION FROM MICROALGAE: A REVIEW
Critical factors in energy generation from microalgae.pdf,0.5739130434782609,UPCYCLING FOOD WASTE INTO BIOREFINERY PRODUCTION BY MICROALGAE
Sustainable microalgal biomass production in food industry wastewater   for low-cost biorefinery products a review..pdf,0.5676855895196506,SUSTAINABILITY AND CARBON NEUTRALIZATION TRENDS IN MICROALGAE BIOENERGY PRODUCTION FROM WASTEWATER TREATMENT: A REVIEW
Microalgal cultivation in secondary effluentrecent developments and  future work..pdf,0.5617977528089888,"MICRO-ALGAE CULTIVATION FOR BIOFUELS: COST, ENERGY BALANCE, ENVIRONMENTAL IMPACTS AND FUTURE PROSPECTS"
Using microalgae to produce liquid transportation biodiesel What is next.pdf,0.5538461538461539,MARINE MICROALGAE FOR PRODUCTION OF BIOFUELS AND CHEMICALS
"Exploring the potential and progress of microalgae biomass production, harvesting, and pre-treatment for sustainable biofuel production a comprehensive review.pdf",0.5469387755102041,INTEGRATION OF MICROALGAE PRODUCTION WITH INDUSTRIAL BIOFUEL FACILITIES: A CRITICAL REVIEW
Carbon sequestration using microalgae - a review.pdf,0.5454545454545454,SYSTEM INTEGRATION FOR PRODUCING MICROALGAE AS BIOFUEL FEEDSTOCK
Net zero emission in circular bioeconomy from microalgae biochar        production a renewed possibility..pdf,0.5339805825242718,USING ATMOSPHERIC EMISSIONS AS CO2SOURCE IN THE CULTIVATION OF MICROALGAE: PRODUCTIVITY AND ECONOMIC VIABILITY.
"Bioremediation of water containing pesticides by microalgae mechanisms, methods, and prospects for future research..pdf",0.5333333333333333,BIO-MITIGATION OF CARBON DIOXIDE USING MICROALGAL SYSTEMS: ADVANCES AND PERSPECTIVES
Socioeconomic indicators for sustainable design and commercial        development of algal biofuel systems..pdf,0.5189873417721519,AN ECONOMIC AND TECHNICAL EVALUATION OF MICROALGAL BIOFUELS.
Algal biofuel and their impact on agriculture and environment.pdf,0.5074626865671642,"MICROALGAE FOR BIOFUELS, WASTEWATER TREATMENT AND ENVIRONMENTAL MONITORING"
A review of the strategy to promote microalgae value in CO2 conversion-lipid enrichment-biodiesel production.pdf,0.4971751412429379,CURRENT TRENDS AND PROSPECTS IN MICROALGAE-BASED BIOENERGY PRODUCTION
Water and emissions nexus for biodiesel in Iran.pdf,0.4854368932038835,TRANSITIONING TO SUSTAINABLE USE OF BIOFUEL IN AUSTRALIA.
Sustainable technologies for the reclamation of greenhouse gas CO2.pdf,0.4680851063829787,MICROALGAE AS A SUSTAINABLE ENERGY SOURCE FOR BIODIESEL PRODUCTION: A REVIEW
Wastewater use in algae production for generation of renewable        resources a review and preliminary results..pdf,0.467005076142132,RECENT ADVANCES IN WASTEWATER MICROALGAE-BASED BIOFUELS PRODUCTION: A STATE-OF-THE-ART REVIEW
