filename,topic,topic_name
A review of the strategy to promote microalgae value in CO2 conversion-lipid enrichment-biodiesel production.pdf,4,4_the_of_and_biodiesel
Algal biofuel and their impact on agriculture and environment.pdf,0,0_the_of_and_in
"Bioremediation of water containing pesticides by microalgae mechanisms, methods, and prospects for future research..pdf",1,1_the_of_and_in
Carbon sequestration using microalgae - a review.pdf,1,1_the_of_and_in
Critical factors in energy generation from microalgae.pdf,0,0_the_of_and_in
"Current status, issues and developments in microalgae derived biodiesel production.pdf",4,4_the_of_and_biodiesel
Economic and policy issues in the production of algae-based biofuels a review..pdf,2,2_and_of_the_in
"Exploring the potential and progress of microalgae biomass production, harvesting, and pre-treatment for sustainable biofuel production a comprehensive review.pdf",5,5_of_and_the_in
Microalgal cultivation in secondary effluentrecent developments and  future work..pdf,5,5_of_and_the_in
Net zero emission in circular bioeconomy from microalgae biochar        production a renewed possibility..pdf,3,3_the_of_and_in
Socioeconomic indicators for sustainable design and commercial        development of algal biofuel systems..pdf,0,0_the_of_and_in
Sustainable microalgal biomass production in food industry wastewater   for low-cost biorefinery products a review..pdf,1,1_the_of_and_in
Sustainable technologies for the reclamation of greenhouse gas CO2.pdf,1,1_the_of_and_in
Using microalgae to produce liquid transportation biodiesel What is next.pdf,4,4_the_of_and_biodiesel
Wastewater use in algae production for generation of renewable        resources a review and preliminary results..pdf,1,1_the_of_and_in
Water and emissions nexus for biodiesel in Iran.pdf,4,4_the_of_and_biodiesel
