filename,topic,topic_name,topic_probability
"A critical overview of upstream cultivation and downstream processing of algae-based biofuelsOpportunity, technological barriers and future perspective.pdf",3,3_the_of_and_in,0.3984467588707853
A review of the strategy to promote microalgae value in CO2 conversion-lipid enrichment-biodiesel production.pdf,4,4_the_of_and_biodiesel,0.3290066961436151
A review on sustainable microalgae based biofuel and bioenergy productionRecent developments.pdf,0,0_the_of_and_in,1.0
A sustainable perspective of microalgal biorefinery for co‐production and.pdf,5,5_of_and_the_in,0.1605772132721978
Algal biofuel and their impact on agriculture and environment.pdf,0,0_the_of_and_in,0.2473294407564723
"Algal biorefinery culminating multiple value-added productsrecent advances, emerging trends, opportunities, and challenges.pdf",2,2_and_of_the_in,1.0
Algal biorefinery models with self-sustainable closed loop approachtrends and prospective for blue-bioeconomy.pdf,0,0_the_of_and_in,0.2158374752337842
Assessing sustainability of microalgae-based wastewater treatmentEnvironmental considerations and impacts on human health.pdf,1,1_the_of_and_in,1.0
"Bioremediation of water containing pesticides by microalgae mechanisms, methods, and prospects for future research..pdf",1,1_the_of_and_in,1.0
Carbon sequestration using microalgae - a review.pdf,1,1_the_of_and_in,0.1969593621094711
Co-pyrolysis of sewage sludge with lignocellulosic and algal biomass for sustainable liquid and gaseous fuel productiona life cycle assessment and techno-economic analysis.pdf,0,0_the_of_and_in,0.1431419478883035
Critical factors in energy generation from microalgae.pdf,0,0_the_of_and_in,1.0
"Current perspectives, future challenges and key technologies of biohydrogen production for building a carbon-neutral futura review.pdf",3,3_the_of_and_in,1.0
"Current status, issues and developments in microalgae derived biodiesel production.pdf",4,4_the_of_and_biodiesel,1.0
Development perspectives of promising lignocellulose feedstocks for production of advanced generation biofuelsA review.pdf,0,0_the_of_and_in,0.1478237947288581
Economic and policy issues in the production of algae-based biofuels a review..pdf,2,2_and_of_the_in,0.2469543069021841
Enhanced CO2 fixation and biofuel production via microalgaeRecent developments and future directions.pdf,1,1_the_of_and_in,0.2385279835655898
Environmental pollution mitigation through utilization of carbon dioxideby microalgae.pdf,3,3_the_of_and_in,1.0
"Exploring the potential and progress of microalgae biomass production, harvesting, and pre-treatment for sustainable biofuel production a comprehensive review.pdf",5,5_of_and_the_in,1.0
Microalgae biorefineries  Applications and emerging technologies.pdf,0,0_the_of_and_in,0.2659365923728834
"Microalgae-Based BiorefineriesChallenges and Future Trends to Produce Carbohydrate Enriched Biomass, High-Added Value Products and Bioactive Compounds.pdf",5,5_of_and_the_in,1.0
Microalgal biofuel revisitedAn informatics-based analysis of developments to date and future prospects.pdf,5,5_of_and_the_in,1.0
"Microalgal biofuels in ChinaThe past, progress and prospects.pdf",0,0_the_of_and_in,1.0
Microalgal biofuelsChallenges and prospective in the framework of circular bioeconomy.pdf,0,0_the_of_and_in,0.206120016665072
Microalgal biomass production as a sustainable feedstock for biodieselCurrent status and perspectives.pdf,4,4_the_of_and_biodiesel,0.3855899531754755
Microalgal cultivation in secondary effluentrecent developments and  future work..pdf,5,5_of_and_the_in,0.2478470314765024
Microalgal culture strategies for biofuel productionA review.pdf,5,5_of_and_the_in,1.0
Net zero emission in circular bioeconomy from microalgae biochar        production a renewed possibility..pdf,3,3_the_of_and_in,1.0
Promising solutions to solve the bottlenecks in the large-scale cultivation of microalgae for biomassbioenergy production.pdf,0,0_the_of_and_in,0.1742641398766297
Socioeconomic indicators for sustainable design and commercial        development of algal biofuel systems..pdf,0,0_the_of_and_in,0.1490380775574175
Sustainable microalgal biomass production in food industry wastewater   for low-cost biorefinery products a review..pdf,1,1_the_of_and_in,1.0
Sustainable technologies for the reclamation of greenhouse gas CO2.pdf,1,1_the_of_and_in,0.2422568458504309
The potential of microalgae biorefineries in Belgium and IndiaAn environmental techno-economic assessment.pdf,0,0_the_of_and_in,0.1881651006929826
The urge of algal biomass-based fuels for environmental sustainability against a steady tide of biofuel conflict analysiIs third-generation algal biorefinery a boon.pdf,3,3_the_of_and_in,1.0
Using microalgae to produce liquid transportation biodiesel What is next.pdf,4,4_the_of_and_biodiesel,1.0
Wastewater use in algae production for generation of renewable        resources a review and preliminary results..pdf,1,1_the_of_and_in,1.0
Water and emissions nexus for biodiesel in Iran.pdf,4,4_the_of_and_biodiesel,0.2460849706863002
