TI,PY,TC,AU,SO,DI
"1ST INTERNATIONAL COASTAL BIOLOGY CONGRESS, YANTAI, CHINA, 26-30 SEPTEMBER 2014.",2016.0,0.0,,JOURNAL OF APPLIED PHYCOLOGY,10.1007/s10811-015-0720-4
"A CRITICAL OVERVIEW OF UPSTREAM CULTIVATION AND DOWNSTREAM PROCESSING OF ALGAE-BASED BIOFUELS: OPPORTUNITY, TECHNOLOGICAL BARRIERS AND FUTURE PERSPECTIVE",2022.0,40.0,AHMAD S;IQBAL K;KOTHARI R;SINGH HM;SARI A;TYAGI VV,JOURNAL OF BIOTECHNOLOGY,10.1016/j.jbiotec.2022.03.015
"A REVIEW OF MICROALGAE-BASED BIOREFINERIES APPROACH FOR PRODUCED WATER TREATMENT: BARRIERS, PRETREATMENTS, SUPPLEMENTATION, AND PERSPECTIVES",2022.0,19.0,CAVALCANTI PESSÔA L;PINHEIRO CRUZ E;MOSQUERA DEAMICI K;BOMFIM ANDRADE B;SANTANA CARVALHO N;ROCHA VIEIRA S;ALVES DA SILVA JB;MAGALHÃES PONTES LA;OLIVEIRA DE SOUZA C;DRUZIAN JI;DE JESUS ASSIS D,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,10.1016/j.jece.2022.108096
A REVIEW ON SUSTAINABLE MICROALGAE BASED BIOFUEL AND BIOENERGY PRODUCTION: RECENT DEVELOPMENTS,2018.0,361.0,RAHEEM A;PRINSEN P;VUPPALADADIYAM AK;ZHAO M;LUQUE R,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2018.01.125
A SUSTAINABLE PERSPECTIVE OF MICROALGAL BIOREFINERY FOR CO-PRODUCTION AND RECOVERY OF HIGH-VALUE CAROTENOID AND BIOFUEL WITH CO2 VALORIZATION,2020.0,40.0,DINESHKUMAR R;SEN R,"BIOFUELS, BIOPRODUCTS AND BIOREFINING",10.1002/bbb.2107
"ALGAL BIOREFINERY CULMINATING MULTIPLE VALUE-ADDED PRODUCTS: RECENT ADVANCES, EMERGING TRENDS, OPPORTUNITIES, AND CHALLENGES",2022.0,18.0,YADAV K;VASISTHA S;NAWKARKAR P;KUMAR S;RAI MP,3 BIOTECH,10.1007/s13205-022-03288-y
ALGAL BIOREFINERY MODELS WITH SELF-SUSTAINABLE CLOSED LOOP APPROACH: TRENDS AND PROSPECTIVE FOR BLUE-BIOECONOMY,2020.0,151.0,VENKATA MOHAN S;HEMALATHA M;CHAKRABORTY D;CHATTERJEE S;RANADHEER P;KONA R,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2019.122128
ASSESSING SUSTAINABILITY OF MICROALGAE-BASED WASTEWATER TREATMENT: ENVIRONMENTAL CONSIDERATIONS AND IMPACTS ON HUMAN HEALTH,2024.0,7.0,BHATT A;SAHU N;DADA AC;KUMAR PRAJAPATI S;ARORA P,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2024.120435
CO-PYROLYSIS OF SEWAGE SLUDGE WITH LIGNOCELLULOSIC AND ALGAL BIOMASS FOR SUSTAINABLE LIQUID AND GASEOUS FUEL PRODUCTION: A LIFE CYCLE ASSESSMENT AND TECHNO-ECONOMIC ANALYSIS.,2023.0,0.0,MOHAMED BADR A.;O'BOYLE MARNIE;LI LORETTA Y.,APPLIED ENERGY,10.1016/j.apenergy.2023.121318
"CURRENT PERSPECTIVES, FUTURE CHALLENGES AND KEY TECHNOLOGIES OF BIOHYDROGEN PRODUCTION FOR BUILDING A CARBON-NEUTRAL FUTURE: A REVIEW.",2022.0,0.0,SAHRIN NURUL TASNIM;KHOO KUAN SHIONG;LIM JUN WEI;SHAMSUDDIN RASHID;ARDO FATIMA MUSA;RAWINDRAN HEMAMALINI;HASSAN MUZAMIL;KIATKITTIPONG WORAPON;ABDELFATTAH EMAN ALAAELDIN;OH WEN DA;CHENG CHIN KUI,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2022.128088
DEVELOPMENT PERSPECTIVES OF PROMISING LIGNOCELLULOSE FEEDSTOCKS FOR PRODUCTION OF ADVANCED GENERATION BIOFUELS: A REVIEW,2021.0,168.0,LIN C-Y;LU C,RENEWABLE AND SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.110445
ENHANCED CO2 FIXATION AND BIOFUEL PRODUCTION VIA MICROALGAE: RECENT DEVELOPMENTS AND FUTURE DIRECTIONS,2010.0,603.0,KUMAR A;ERGAS S;YUAN X;SAHU A;ZHANG Q;DEWULF J;MALCATA FX;VAN LANGENHOVE H,TRENDS IN BIOTECHNOLOGY,10.1016/j.tibtech.2010.04.004
ENVIRONMENTAL POLLUTION MITIGATION THROUGH UTILIZATION OF CARBON DIOXIDE BY MICROALGAE.,2023.0,0.0,TARAFDAR AYON;SOWMYA G.;YOGESHWARI K.;RATTU GURDEEP;NEGI TARU;AWASTHI MUKESH KUMAR;HOANG ANHTUAN;SINDHU RAVEENDRAN;SIROHI RANJNA,ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2023.121623
INTEGRATED APPLICATIONS OF MICROALGAE TO WASTEWATER TREATMENT AND BIOREFINERY: RECENT ADVANCES AND OPPORTUNITIES,2022.0,5.0,TUYEN NV;LIMJUCO LA;LEE K;DANG NM,APPLIED CHEMISTRY FOR ENGINEERING,10.14478/ace.2022.1031
MARINE ALGAE BIOMASS: A VIABLE AND RENEWABLE RESOURCE FOR BIOFUEL PRODUCTION: A REVIEW,2024.0,9.0,NARAYANAN M,ALGAL RESEARCH,10.1016/j.algal.2024.103687
MICROALGAE BIOREFINERIES: APPLICATIONS AND EMERGING TECHNOLOGIES; [BIOREFINERÍAS DE MICROALGAS: APLICACIONES ACTUALES Y NUEVAS TECNOLOGÍAS EN DESARROLLO],2018.0,21.0,GIRALDO-CALDERÓN ND;ROMO-BUCHELLY RJ;ARBELÁEZ-PÉREZ AA;ECHEVERRI-HINCAPIÉ D;ATEHORTÚA-GARCÉS L,DYNA (COLOMBIA),10.15446/dyna.v85n205.68780
