filename,closest_match,similarity,suggestion,year,biblio_index
"Current status, issues and developments in microalgae derived biodiesel production.pdf",CURRENT TRENDS AND PROSPECTS IN MICROALGAE-BASED BIOENERGY PRODUCTION,0.7066666666666667,HIGH CONFIDENCE - Likely same paper (title truncation/variation),2020.0,84
A sustainable perspective of microalgal biorefinery for co‐production and.pdf,A SUSTAINABLE PERSPECTIVE OF MICROALGAL BIOREFINERY FOR CO-PRODUCTION AND RECOVERY OF HIGH-VALUE CAROTENOID AND BIOFUEL WITH CO2 VALORIZATION,0.6822429906542056,HIGH CONFIDENCE - Likely same paper (title truncation/variation),2020.0,81
Microalgae biorefineries  Applications and emerging technologies.pdf,MICROALGAE BIOREFINERY ALTERNATIVES AND HAZARD EVALUATION,0.6,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2016.0,118
Economic and policy issues in the production of algae-based biofuels a review..pdf,DEVELOPMENTS AND CHALLENGES IN BIODIESEL PRODUCTION FROM MICROALGAE: A REVIEW,0.5751633986928104,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2016.0,109
Critical factors in energy generation from microalgae.pdf,UPCYCLING FOOD WASTE INTO BIOREFINERY PRODUCTION BY MICROALGAE,0.5739130434782609,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2024.0,20
Sustainable microalgal biomass production in food industry wastewater   for low-cost biorefinery products a review..pdf,SUSTAINABILITY AND CARBON NEUTRALIZATION TRENDS IN MICROALGAE BIOENERGY PRODUCTION FROM WASTEWATER TREATMENT: A REVIEW,0.5676855895196506,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2022.0,51
Microalgal cultivation in secondary effluentrecent developments and  future work..pdf,"MICRO-ALGAE CULTIVATION FOR BIOFUELS: COST, ENERGY BALANCE, ENVIRONMENTAL IMPACTS AND FUTURE PROSPECTS",0.5617977528089888,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2013.0,131
Using microalgae to produce liquid transportation biodiesel What is next.pdf,MARINE MICROALGAE FOR PRODUCTION OF BIOFUELS AND CHEMICALS,0.5538461538461539,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2018.0,103
"Exploring the potential and progress of microalgae biomass production, harvesting, and pre-treatment for sustainable biofuel production a comprehensive review.pdf",INTEGRATION OF MICROALGAE PRODUCTION WITH INDUSTRIAL BIOFUEL FACILITIES: A CRITICAL REVIEW,0.5469387755102041,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2018.0,105
Carbon sequestration using microalgae - a review.pdf,SYSTEM INTEGRATION FOR PRODUCING MICROALGAE AS BIOFUEL FEEDSTOCK,0.5454545454545454,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2010.0,144
Net zero emission in circular bioeconomy from microalgae biochar        production a renewed possibility..pdf,USING ATMOSPHERIC EMISSIONS AS CO2SOURCE IN THE CULTIVATION OF MICROALGAE: PRODUCTIVITY AND ECONOMIC VIABILITY.,0.5339805825242718,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2019.0,158
"Bioremediation of water containing pesticides by microalgae mechanisms, methods, and prospects for future research..pdf",BIO-MITIGATION OF CARBON DIOXIDE USING MICROALGAL SYSTEMS: ADVANCES AND PERSPECTIVES,0.5333333333333333,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2017.0,110
Socioeconomic indicators for sustainable design and commercial        development of algal biofuel systems..pdf,AN ECONOMIC AND TECHNICAL EVALUATION OF MICROALGAL BIOFUELS.,0.5189873417721519,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2010.0,198
Algal biofuel and their impact on agriculture and environment.pdf,"MICROALGAE FOR BIOFUELS, WASTEWATER TREATMENT AND ENVIRONMENTAL MONITORING",0.5074626865671642,"MEDIUM CONFIDENCE - Could be same paper, review abstracts",2021.0,70
A review of the strategy to promote microalgae value in CO2 conversion-lipid enrichment-biodiesel production.pdf,CURRENT TRENDS AND PROSPECTS IN MICROALGAE-BASED BIOENERGY PRODUCTION,0.4971751412429379,LOW CONFIDENCE - Likely different papers,2020.0,84
Water and emissions nexus for biodiesel in Iran.pdf,TRANSITIONING TO SUSTAINABLE USE OF BIOFUEL IN AUSTRALIA.,0.4854368932038835,LOW CONFIDENCE - Likely different papers,2017.0,199
Sustainable technologies for the reclamation of greenhouse gas CO2.pdf,MICROALGAE AS A SUSTAINABLE ENERGY SOURCE FOR BIODIESEL PRODUCTION: A REVIEW,0.4680851063829787,LOW CONFIDENCE - Likely different papers,2011.0,133
Wastewater use in algae production for generation of renewable        resources a review and preliminary results..pdf,RECENT ADVANCES IN WASTEWATER MICROALGAE-BASED BIOFUELS PRODUCTION: A STATE-OF-THE-ART REVIEW,0.467005076142132,LOW CONFIDENCE - Likely different papers,2022.0,43
