"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"INDIA         ","39","0.2600","28","11","0.282"
"CHINA         ","21","0.1400","11","10","0.476"
"BRAZIL        ","10","0.0667"," 6"," 4","0.400"
"CANADA        "," 7","0.0467"," 4"," 3","0.429"
"MALAYSIA      "," 6","0.0400"," 5"," 1","0.167"
"PORTUGAL      "," 6","0.0400"," 4"," 2","0.333"
"AUSTRALIA     "," 5","0.0333"," 4"," 1","0.200"
"KOREA         "," 5","0.0333"," 1"," 4","0.800"
"FINLAND       "," 4","0.0267"," 3"," 1","0.250"
"SPAIN         "," 4","0.0267"," 1"," 3","0.750"
"UNITED KINGDOM"," 4","0.0267"," 2"," 2","0.500"
"INDONESIA     "," 3","0.0200"," 3"," 0","0.000"
"ITALY         "," 3","0.0200"," 1"," 2","0.667"
"PAKISTAN      "," 3","0.0200"," 2"," 1","0.333"
"USA           "," 3","0.0200"," 3"," 0","0.000"
"BELGIUM       "," 2","0.0133"," 2"," 0","0.000"
"FRANCE        "," 2","0.0133"," 1"," 1","0.500"
"IRAN          "," 2","0.0133"," 2"," 0","0.000"
"MEXICO        "," 2","0.0133"," 0"," 2","1.000"
"NIGERIA       "," 2","0.0133"," 1"," 1","0.500"
