"item","freq","year_q1","year_med","year_q3"
"MICROORGANISMS",95,2016,2020,2022
"MICROALGA",93,2016,2020,2023
"BIOMASS",87,2018,2022,2023
"MICRO-ALGAE",80,2016,2021,2023
"BIOFUELS",76,2016,2019,2022
"ALGAE",75,2012,2016,2020
"MICROALGAE",74,2018,2022,2023
"BIOFUEL",70,2015,2020,2022
"CARBON DIOXIDE",60,2012,2020,2022
"BIODIESEL",48,2015,2019,2022
"SUSTAINABLE DEVELOPMENT",47,2018,2021,2023
"BIOFUEL PRODUCTION",46,2016,2022,2023
"FOSSIL FUELS",35,2018,2022,2023
"NONHUMAN",35,2018,2021,2023
"BIOTECHNOLOGY",32,2016,2018,2020
"WASTEWATER TREATMENT",30,2018,2022,2023
"REVIEW",29,2016,2019,2022
"REFINING",28,2018,2020,2022
"BIOREFINERIES",27,2018,2021,2023
"BIOCONVERSION",26,2018,2020,2023
"LIFE CYCLE",25,2019,2021,2023
"CULTIVATION",23,2016,2020,2022
"ENVIRONMENTAL IMPACT",21,2018,2022,2023
"BIOGAS",20,2016,2021,2023
"BIOENERGY",19,2019,2022,2023
"CARBON SEQUESTRATION",19,2022,2023,2024
"FEEDSTOCKS",19,2015,2019,2022
"WASTEWATER",19,2018,2022,2024
"GLOBAL WARMING",18,2012,2018,2021
"CARBON",17,2019,2022,2023
"ENVIRONMENTAL SUSTAINABILITY",17,2016,2022,2023
"GENETIC ENGINEERING",17,2011,2018,2023
"BIOETHANOL",16,2020,2022,2024
"BIOREMEDIATION",16,2022,2022,2023
"GREENHOUSE GASES",16,2016,2021,2022
"CLIMATE CHANGE",15,2019,2021,2024
"ECONOMIC ANALYSIS",15,2018,2022,2023
"METABOLISM",15,2016,2018,2021
"ANAEROBIC DIGESTION",14,2016,2018,2023
"BIODIESEL PRODUCTION",14,2016,2020,2022
"BIOMASS PRODUCTION",14,2018,2020,2023
"PRIORITY JOURNAL",14,2015,2018,2019
"ENERGY",13,2018,2022,2022
"SUSTAINABILITY",13,2013,2019,2022
"WASTE WATER MANAGEMENT",13,2020,2022,2023
"ENERGY POLICY",12,2015,2019,2022
"FOSSIL FUEL",12,2013,2020,2022
"LIFE CYCLE ASSESSMENT",12,2022,2022,2024
"BIO-ENERGY",11,2018,2022,2022
"LIFE CYCLE ANALYSIS",11,2018,2020,2022
"LIPID",11,2012,2020,2022
"METHANE",11,2009,2015,2020
"MICROALGAE CULTIVATION",11,2020,2022,2024
"SUSTAINABLE DEVELOPMENT GOAL",11,2022,2023,2024
"BIOENERGY PRODUCTIONS",10,2018,2020,2022
"COST EFFECTIVENESS",10,2016,2022,2022
"GREENHOUSE GAS",10,2017,2022,2023
"MICROALGAL BIOMASS",10,2020,2021,2023
"PHOTOSYNTHESIS",10,2010,2016,2022
"RENEWABLE ENERGIES",10,2014,2020,2023
"BIOPRODUCTS",9,2019,2021,2022
"BIOREACTOR",9,2011,2012,2016
